idx,question,promql
h016,Show the total number of failed requests of each service called by the basic service during the past hour.,"increase(traces_service_graph_request_failed_total{client=""ts-basic-service"",server!=""""}[1h])"
h017,I need the maximum latency for APIs about order management for administrator in the past three hours.,"histogram_quantile(1, rate(traces_spanmetrics_latency_bucket{service=""ts-admin-order-service""}[3h]))"
h018,Compute the average request durations from the server's perspective over a 5-minute window.,histogram_sum(rate(traces_service_graph_request_server_seconds_bucket[5m])) / histogram_count(rate(traces_service_graph_request_server_seconds_bucket[5m]))
h019,"Based on the data from the past 4 hours, predict whether filesystems on the 3rd node of k8s cluster will be fully occupied in 4 hours.","predict_linear(node_filesystem_avail_bytes{instance=~""10.176.122.153:.*""}[4h], 4 * 3600) < 0"
h020,Which request that requested by the service preserving train's ticket has the longest p95 request duration?,"topk(1, histogram_quantile(0.95, traces_service_graph_request_server_seconds_bucket{client=""ts-preserve-service""}))"
h021,Show the average number of replicas per deployment of all services excluding the UI dashboard service in the past hour.,"avg_over_time(kube_deployment_status_replicas{deployment!=""ts-ui-dashboard""}[1h])"
h022,Which node hosting the seat allocation service has the highest memory available rate? Identify it and display its memory available rate as a percentage.,"topk(1, node_memory_MemAvailable_bytes{instance=~""10.176.122.151:.*|10.176.122.152:.*""} / node_memory_MemTotal_bytes * 100)"
h023,Calculate the absolute change of memory cache of each pod on the 3rd node of k8s cluster over the last hour.,"sum(delta(container_memory_cache{node=""k8s-node3""}[1h])) by (pod)"
h024,Calculate the derivative of open socket number of each container for travel service in 10.176.122.151 over the past 1 hour.,"deriv(container_sockets{node=""k8s-node1"",pod=~""ts-travel-service-.*""}[1h])"
h025,What is the memory swap space usage rate for the nodes hosting the service which manages station information? Show the final result as a percentage.,"(node_memory_SwapTotal_bytes{instance=~""10.176.122.154:.*|10.176.122.151:.*""} - node_memory_SwapFree_bytes) / node_memory_SwapTotal_bytes * 100"
h026,Which container of the service about order management for administrator had the most errors in transmit packets in the last 30 minutes?,"topk(1, increase(container_network_transmit_errors_total{pod=~""ts-admin-order-service-.*""}[30m]))"
h027,I need the size in MB of current memory working set for each pod of the service managing basic information for administrator.,"sum(container_memory_working_set_bytes{pod=~""ts-admin-basic-info-service-.*""}) by (pod) / 1024 / 1024"
h028,"Identify the upstream services of the service managing user informations and auth operation, then display the total number of pod restarts for them over the past day.","sum(increase(kube_pod_container_status_restarts_total{pod=~""ts-user-service-.*|ts-gateway-service-.*""}[1d]))"
h029,How many times the API getting all trains information by admin was called during the past day.,"increase(traces_spanmetrics_calls_total{span_name=""GET /api/v1/adminbasicservice/adminbasic/trains""}[1d])"
h030,"Display the call rate of all the APIs of the service about inside payment, money and account in the past 2 weeks except the API about drawback user's money.","rate(traces_spanmetrics_calls_total{service=""ts-inside-payment-service"",span_name!=""GET /api/v1/inside_pay_service/inside_payment/drawback/{userId}/{money}""}[2w])"
h031,"Currently, which containers on the second node of k8s cluster have reached 50% of the limit of bytes that can be consumed by the container on filesystem?","container_fs_usage_bytes{node=""k8s-node2""} >= (container_fs_limit_bytes * 0.5)"
h032,Can you calculate the proportion of page cache memory to currently used memory for each pod of ts-assurance-service? Display the final result as a percentage.,"100 * sum by (pod) (container_memory_cache{pod=~""ts-assurance-service-.*""}) / sum by (pod) (container_memory_usage_bytes)"
h033,Calculate the ratio of network packet drops to total network packets transmitted of each device on k8s-node4 in the past hour. Display the final result as a percentage.,"100 * increase(node_network_transmit_drop_total{instance=~""10.176.122.161:.*""}[1h]) / increase(node_network_transmit_packets_total[1h])"
h034,Please calculate the inode usage ratio for the filesystem on the Kubernetes node k8s-node4. Display the final result as a percentage.,"100 * (container_fs_inodes_total{node=""k8s-node4""} - container_fs_inodes_free) / container_fs_inodes_total"
h035,"Retrieve the node available filesystem bytes for each instance and job, and combine them with Node Exporter's build version in the final result.","node_filesystem_avail_bytes * on(instance, job) group_left(version) node_exporter_build_info"
h036,"Please calculate the average latency for the API ""GET /api/v1/priceservice/prices"" over the past 5 minutes.","increase(traces_spanmetrics_latency_sum{span_name=""GET /api/v1/priceservice/prices""}[5m]) / increase(traces_spanmetrics_latency_count[5m])"
h037,I need the average request durations from the service which manages user informations and auth operation to its downstream services over the past 24 hours.,"increase(traces_service_graph_request_client_seconds_sum{client=""ts-auth-service""}[24h]) / increase(traces_service_graph_request_client_seconds_count[24h])"
h038,Retrieve the maximum memory usage for each container of the gateway service which was deployed on k8s-node2 over the past week.,"max_over_time(container_memory_max_usage_bytes{pod=~""ts-gateway-service-.*"",node=""k8s-node2""}[1w])"
h039,Which nodes had an average CPU usage rate exceeding 50% over the past five minutes? Identify them and display their average CPU usage rate as percentages.,"(100 - (avg by(instance) (rate(node_cpu_seconds_total{mode=""idle""}[5m])) * 100)) > 50"
h040,I need the average CPU usage rate as a percentage for each node of the k8s cluster over the past five minutes.,"100 - 100 * sum by(instance) (increase(node_cpu_seconds_total{mode=""idle""}[5m])) / sum by(instance) (increase(node_cpu_seconds_total[5m]))"
h041,Which API among all the APIs of the admin user service and admin order service was called the most times over the past week?,"topk(1, increase(traces_spanmetrics_latency_count{service=~""ts-admin-user-service|ts-admin-order-service""}[1w]))"
h042,Which request to the service ts-travel2-service was requested the most times over the past day?,"topk(1, increase(traces_service_graph_request_server_seconds_count{server=""ts-travel2-service""}[1d]))"
h043,Determine which API of the service which manages contacts has had the greatest increase in call volume over the past 24 hours.,"topk(1, increase(traces_spanmetrics_latency_count{service=""ts-contacts-service""}[24h]))"
h044,Display the average request duration for all traffic from the auth service to its downstream services over a 5-minute interval.,"rate(traces_service_graph_request_client_seconds_sum{client=""ts-auth-service""}[5m]) / rate(traces_service_graph_request_client_seconds_count{client=""ts-auth-service""}[5m])"
h045,"Among the nodes hosting the food service, which node had the shortest CPU idle time in the past day?","bottomk(1, sum(increase(node_cpu_seconds_total{mode=""idle"",instance=""10.176.122.151:9100""}[1d])) by (instance))"
h046,Which endpoint of the rebook service experienced the greatest average response time during the past 24 hours?,"topk(1, rate(traces_spanmetrics_latency_sum{service=""ts-rebook-service""}[24h]) / rate(traces_spanmetrics_latency_count{service=""ts-rebook-service""}[1d]))"
h047,Count the number of error of different Docker operation types in the whole cluster over the past 1 hour.,sum(increase(kubelet_docker_operations_errors_total[1h])) by (operation_type)
h048,How many physical CPU cores do the nodes hosting the basic info service or news service have?,"machine_cpu_physical_cores{instance=~""10.176.122.162:.*|10.176.122.152:.*""}"
h049,Calculate the age of endpoints for the service which manage configs and the service which manages security config files.,"time() - kube_endpoint_created{endpoint=~""ts-config-service|ts-security-service""}"
h050,"In the past hour, how many bytes had been transmitted by pods for service ts-station-service on node k8s-node3 ?","sum(increase(container_network_transmit_bytes_total{pod=~""ts-station-service-.*""}[1h]))"
