idx,question,promql
40,How much time did containers of the food service spend on fs write operations in the past hour?,"'increase(container_fs_write_seconds_total{pod=~""ts-food-service-66f9498cdf-.*""}[1h])'"
41,"Using the past hour's memory cache data, predict the page cache memory usage in bytes for the next 30 minutes for the k8snacos container of the nacos service on k8s-node2 using a linear model.","'predict_linear(container_memory_cache{node=""k8s-node2"", pod=""nacos-1"", container=""k8snacos""}[1h], 1800)'"
42,"How much has the transmission rate of bytes by the network interfaces on nodes hosting the seat service changed in the last minute, by subtracting the rate of the same minute yesterday?","'rate(node_network_transmit_bytes_total{instance=~""10.176.122.151:9100|10.176.122.153:9100""}[1m]) - rate(node_network_transmit_bytes_total{instance=~""10.176.122.151:9100|10.176.122.153:9100""}[1m] offset 1d)'"
43,"Use the data from the past hour to predict the CPU usage (accounting for limit) trend of the pods of the downstream services of ts-inside-payment-service in the next 2 hours, and find the pods whose CPU usage will exceed 80% in the future.","'predict_linear(sum(rate(container_cpu_usage_seconds_total{pod=~""ts-order-other-service-.*|ts-order-service-.*|ts-payment-service-.*""}[5m])) by (pod)[1h:5m], 3600 * 2) \n/ \nsum(kube_pod_container_resource_limits{pod=~""ts-order-other-service-.*|ts-order-service-.*|ts-payment-service-.*"", resource=""cpu"", unit=""core""}) by (pod) * 100 > 80'"
44,Show me the requests per second from the food service to its downstream services in the last hour.,"'rate(traces_service_graph_request_total{client=""ts-food-service""}[1h])'"
45,Which pod of the auth service had the highest error ratio in transmit packets in the last 5 minutes?,"'topk(1, rate(container_network_transmit_errors_total{pod=~""ts-auth-service-6f695b66dc-.*""}[5m]) / rate(container_network_transmit_packets_total{pod=~""ts-auth-service-6f695b66dc-.*""}[5m]))'"
46,How many throttled period intervals have the containers in the contacts service experienced in the past 24 hours?,"'increase(container_cpu_cfs_throttled_periods_total{container=""ts-contacts-service""}[24h])'"
47,What is the failure ratio for the rebook service's requests to the seat service over the past five minutes?,"'rate(traces_service_graph_request_failed_total{client=""ts-rebook-service"", server=""ts-seat-service""}[5m]) / rate(traces_service_graph_request_total{client=""ts-rebook-service"", server=""ts-seat-service""}[5m])'"
48,Query the current memory limit sizes for all containers of the service hosting the API used to get routes in the cheapest order.,"'kube_pod_container_resource_limits{resource=""memory"", pod=~""ts-route-plan-service-55ffcdf865-.*""}'"
49,How much has the number of packets dropped during transmission by the ens160 device on nodes hosting the gateway service in the current 5-minute window increased compared to the same 5-minute window one day earlier?,"'increase(node_network_transmit_drop_total{device=""ens160"", instance=~""10.176.122.152:9100|10.176.122.162:9100""}[5m]) - increase(node_network_transmit_drop_total{device=""ens160"", instance=~""10.176.122.152:9100|10.176.122.162:9100""}[5m] offset 1d)'"
50,Calculate the total number of processes across all pods of the service that provides the API for creating payments.,"'sum(container_processes{pod=~""ts-payment-service-bcd86c6d7-.*""})'"
51,Display the number of calls to all APIs invoked by the Login Check API in the past five minutes.,"'increase(traces_spanmetrics_calls_total{span_name=""GET /api/v1/verifycode/verify/{verifyCode}""}[5m])'"
52,Did the 5-minute load average on node k8s-node1 exceed 0.5 at any point in the last 30 minutes?,"'max_over_time(node_load5{instance=""10.176.122.151:9100""}[30m]) > 0.5'"
53,Calculate the difference between the current response latency of all APIs provided by the rebook service and the response latency from two hours ago.,"'(rate(traces_spanmetrics_latency_sum{service=""ts-rebook-service"", span_name=~""POST /api/v1/rebookservice/rebook|POST /api/v1/rebookservice/rebook/difference""}[5m]) / rate(traces_spanmetrics_latency_count{service=""ts-rebook-service"", span_name=~""POST /api/v1/rebookservice/rebook|POST /api/v1/rebookservice/rebook/difference""}[5m])) - (rate(traces_spanmetrics_latency_sum{service=""ts-rebook-service"", span_name=~""POST /api/v1/rebookservice/rebook|POST /api/v1/rebookservice/rebook/difference""}[5m] offset 2h) / rate(traces_spanmetrics_latency_count{service=""ts-rebook-service"", span_name=~""POST /api/v1/rebookservice/rebook|POST /api/v1/rebookservice/rebook/difference""}[5m] offset 2h))'"
54,"Can you predict the CPU usage ratio of the pods for the downstream services of ts-auth-service in the next 2 hours, and identify the pods whose CPU usage will exceed 50% in the future (considering the CPU limit)?","'predict_linear(sum(rate(container_cpu_usage_seconds_total{pod=~""ts-verification-code-service-.*""}[5m])) by (pod)[1h:5m], 3600 * 2) \n/ \nsum(kube_pod_container_resource_limits{pod=~""ts-verification-code-service-.*"", resource=""cpu"", unit=""core""}) by (pod) * 100 > 50'"
55,Please find the pods of the execute service and the security service whose receiving byte rate is more than twice the transmitting byte rate in the past five minutes.,"'sum(rate(container_network_receive_bytes_total{pod=~""ts-execute-service-.*|ts-security-service-.*""}[5m])) by(pod) / sum(rate(container_network_transmit_bytes_total{pod=~""ts-execute-service-.*|ts-security-service-.*""}[5m])) by(pod) > 2'"
56,Show me the total number of requests from gateway service to execute service in last 1 day.,"'increase(traces_service_graph_request_total{client=""ts-gateway-service"", server=""ts-execute-service""}[1d])'"
57,Show how many times the memory usage of all pods for the gateway service exceeded the limit in the last hour.,"'sum(increase(container_memory_failcnt{pod=~""ts-gateway-service-6f99b4b794-.*""}[1h]))'"
58,Which containers on the node k8s-node3 are deployed with the tsdb-mysql service?  Show the growth rate of bytes used by their block devices over the past 30 minutes.,"'rate(container_blkio_device_usage_total{node=""k8s-node3"", pod=""tsdb-mysql-2""}[30m])'"
59,"Among the nodes currently hosting the pod of execute service, which one has the least amount of memory mapped bytes?","'min(node_memory_Mapped_bytes{instance=~""10.176.122.151:9100|10.176.122.162:9100""})'"
60,"Using data from the last hour, predict the memory usage in bytes for the notification service containers on k8s-node5 over the next 15 minutes using a linear model.","'predict_linear(container_memory_usage_bytes{node=""k8s-node5"", pod=~""ts-notification-service-54b94867b9-.*"", container=""ts-notification-service""}[1h], 900)'"
61,How many process forks have occurred on k8s-node1 and k8s-node2 in the past 30 minutes?,"'increase(node_forks_total{instance=~""10.176.122.151:9100|10.176.122.152:9100""}[30m])'"
62,Check the current thread count of all containers for the admin user service that are deployed on k8s-node2.,"'sum(container_threads{pod=~""ts-admin-user-service-7d94ff5bc6.*"", instance=""10.176.122.152:10250""})'"
63,How many times did the delivery service request access to the ts database over the past day?,"'increase(traces_service_graph_request_total{client=""ts-delivery-service"", connection_type=""database"", server=""ts""}[1d])'"
64,"Calculate the sum of the number of memory usage hits limits for all containers of the service that provides the API for getting all orders, and grouped by node label.","'sum by(node) (container_memory_failcnt{pod=~""ts-admin-order-service-68f76f4775-.*""})'"
65,What is the cumulative count of transmission errors for all pods of the tsdb-mysql deployment on node k8s-node3 over the last 5 minutes?,"'increase(container_network_transmit_errors_total{pod=""tsdb-mysql-2"", node=""k8s-node3""}[5m])'"
66,"I need the CPU time proportion in different modes of k8s-node1 and k8s-node2 during the past 1 minute, excluding nodes that have less than 8 cores.","'label_replace(sum(rate(node_cpu_seconds_total{instance=~""10.176.122.151:9100|10.176.122.152:9100""}[1m])) by(mode, instance) / ignoring(mode) group_left sum(rate(node_cpu_seconds_total{}[1m])) by(instance), ""node"", ""$1"", ""instance"", ""(.*):.*"")\nunless on(node)\nlabel_replace(machine_cpu_cores{instance=~""10.176.122.151:9100|10.176.122.152:9100""}, ""node"", ""$1"", ""instance"", ""(.*):.*"") < 8'"
67,Show the maximum memory usage for all containers of the auth service.,"'container_memory_max_usage_bytes{pod=~""ts-auth-service-6f695b66dc-.*""}'"
68,What is the current working set memory size in bytes for all pods in the nacos statefulset?,"'sum(container_memory_working_set_bytes{pod=~""nacos-.*""})'"
69,How many bytes has the dm-0 device on the nodes hosting the news service read from the disk in the past 5 minutes?,"'sum(increase(node_disk_read_bytes_total{device=""dm-0"", instance=~""10.176.122.151:9100|10.176.122.161:9100""}[5m]))'"
70,"What is the per-second call rate for the API DELETE /api/v1/users/{userId}, calculated over a 5-minute window?","'rate(traces_spanmetrics_calls_total{span_name=""DELETE /api/v1/users/{userId}""}[5m])'"
71,Display the difference in the number of calls between the API used to create user and the API used to delete user over the past day.,"'increase(traces_spanmetrics_calls_total{span_name=""POST /api/v1/auth""}[1d]) - on() group_left increase(traces_spanmetrics_calls_total{span_name=""DELETE /api/v1/userservice/users/{userId}""}[1d])'"
72,What is the CPU usage rate per second for the pods of all services that were called by the seat service in the last minute?,"'sum by (pod) (rate(container_cpu_usage_seconds_total{pod=~""ts-config-service-56756cd4b7-.*|ts-order-other-service-599787b58b-.*|ts-order-service-5cffbb94fd-.*""}[1m]))'"
73,How many enforcement periods have the pods in the seat service completed in the past 5 minutes?,"'increase(container_cpu_cfs_periods_total{pod=~""ts-seat-service-5b97bc9fb5-.*""}[5m])'"
74,Display the current MemTotal bytes for all nodes where the gateway service is deployed.,"'node_memory_MemTotal_bytes{instance=~""10.176.122.152:9100|10.176.122.162:9100""}'"
75,How many CPU sockets are there in the nodes that host the tsdb-mysql service?,"'machine_cpu_sockets{node=~""k8s-node3|k8s-node4|k8s-node5""}'"
76,Please calculate the change in the average request duration of ts-auth-service as a client between the current 5 minutes and the previous 5 minutes using a 5-minute window.,"'rate(traces_service_graph_request_client_seconds_sum{client=""ts-auth-service""}[5m]) / rate(traces_service_graph_request_client_seconds_count{client=""ts-auth-service""}[5m])\n-\nrate(traces_service_graph_request_client_seconds_sum{client=""ts-auth-service""}[5m] offset 5m) / rate(traces_service_graph_request_client_seconds_count{client=""ts-auth-service""}[5m] offset 5m)'"
77,"Filter out pods with a current CPU usage (using 1m as a window) greater than 0.002 cores/second from the pods of ts-order-service or ts-order-other-service, and predict the CPU usage for the next 10 minutes based on the CPU usage of the past 30 minutes, returning the top 3 pods with the highest predicted values.","'topk(3, \n    predict_linear((sum(rate(container_cpu_usage_seconds_total{pod=~""ts-order-service-.*|ts-order-other-service-.*""}[1m])) by(pod))[30m:1m], 60 * 10)\n    and on(pod)\n    sum(rate(container_cpu_usage_seconds_total{pod=~""ts-order-service-.*|ts-order-other-service-.*""}[1m])) by(pod) > 0.002\n)'"
78,"Based on the data from the past day, calculate the 90th percentile latency for the 'SELECT Order' span.","'histogram_quantile(0.9, rate(traces_spanmetrics_latency_bucket{span_name=""SELECT Order""}[1d]))'"
79,"On average, how much time per second did the containers of the security service spend writing to the filesystem in the past 5 minutes?","'avg(rate(container_fs_write_seconds_total{container=""ts-security-service""}[5m]))'"
80,"What are the APIs of the verification code service? For each API, provide the difference in the number of calls between this hour and the same period last week.","'increase(traces_spanmetrics_calls_total{service=""ts-verification-code-service"", span_name=~""GET /api/v1/verifycode/generate|GET /api/v1/verifycode/verify/{verifyCode}""}[1h]) - increase(traces_spanmetrics_calls_total{service=""ts-verification-code-service"", span_name=~""GET /api/v1/verifycode/generate|GET /api/v1/verifycode/verify/{verifyCode}""}[1h] offset 1w)'"
81,"Show me the top 1 CPU usages of nodes whose 1m load average is less than 0.8, only consider nodes hosting the gateway service.","'topk(1, avg by (instance) (rate(node_cpu_seconds_total{instance=~""10.176.122.152:9100|10.176.122.162:9100""}[5m]) * 100) and on(instance) node_load1 < 1)'"
82,How many enforcement periods did the containers in the news service on node k8s-node1 complete in the past day?,"'increase(container_cpu_cfs_periods_total{node=""k8s-node1"", pod=""ts-news-service-867fc4cb4f-xd62r""}[1d])'"
83,"Display the current failure ratio of requests from the execute service to all its downstream services, calculated over a 10-minute window, and compare this result by dividing it by the value from the same time one day ago.","'(increase(traces_service_graph_request_failed_total{client=""ts-execute-service""}[10m]) / increase(traces_service_graph_request_total{client=""ts-execute-service""}[10m])) / (increase(traces_service_graph_request_failed_total{client=""ts-execute-service""}[10m] offset 1d) / increase(traces_service_graph_request_total{client=""ts-execute-service""}[10m] offset 1d))'"
84,What is the failure ratio for the gateway service's requests to the assurance service over the past five minutes?,"'rate(traces_service_graph_request_failed_total{client=""ts-gateway-service"", server=""ts-assurance-service""}[5m]) / rate(traces_service_graph_request_total{client=""ts-gateway-service"", server=""ts-assurance-service""}[5m])'"
85,What are the downstream APIs for the API used to 'get routes in the quickest order'? Display the total number of calls to these APIs over the past hour.,"'increase(traces_spanmetrics_calls_total{span_name=~""GET /api/v1/travel2service/routes/{tripId}|GET /api/v1/travelservice/routes/{tripId}|POST /api/v1/travel2service/trips/left|POST /api/v1/travelservice/trips/left""}[1h])'"
86,Calculate the average duration of requests from the gateway service to the execute service over the past five minutes.,"'rate(traces_service_graph_request_client_seconds_sum{client=""ts-gateway-service"", server=""ts-execute-service""}[5m]) / rate(traces_service_graph_request_client_seconds_count{client=""ts-gateway-service"", server=""ts-execute-service""}[5m])'"
87,Can you calculate the total number of dropped packets received by the ens160 device on all nodes hosting the voucher service in the last 10 minutes?,"'sum(increase(node_network_receive_drop_total{instance=~""10.176.122.151:9100|10.176.122.152:9100"", device=""ens160""}[10m]))'"
88,Show the total number of current sockets for all pods of the gateway service.,"'sum(container_sockets{pod=~""ts-gateway-service-6f99b4b794-.*""})'"
89,"What are the APIs of the rebook service? Among these APIs, identify the one that has been called the most frequently over the past 5 minutes.","'topk(1, increase(traces_spanmetrics_calls_total{service=""ts-rebook-service"", span_name=~""POST /api/v1/rebookservice/rebook|POST /api/v1/rebookservice/rebook/difference""}[5m]))'"
90,How many times was the FoodOrderRepository.findByOrderId span appeared in total in the past hour?,"'increase(traces_spanmetrics_calls_total{span_name=""FoodOrderRepository.findByOrderId""}[1h])'"
91,Which node hosting the tsdb-mysql statefulset had the highest number of network receive errors on the docker0 device in the past 24 hours?,"'topk(1, increase(node_network_receive_errs_total{instance=~""10.176.122.153:9100|10.176.122.161:9100|10.176.122.162:9100"", device=""docker0""}[24h]))'"
92,"Show the average latency of spans from all downstream services of the security service, calculated over a 5-minute window.","""rate(traces_spanmetrics_latency_sum{service=~'ts-order-service|ts-order-other-service'}[5m]) / rate(traces_spanmetrics_latency_count{service=~'ts-order-service|ts-order-other-service'}[5m])"""
93,Calculate the average latency for the `GET /api/v1/verifycode/verify/{verifyCode}` API using data from the past 30 minutes. Compare this with the same period from the previous day by subtracting the earlier value from the current one.,"'rate(traces_spanmetrics_latency_sum{span_name=""GET /api/v1/verifycode/verify/{verifyCode}""}[30m]) / rate(traces_spanmetrics_latency_count{span_name=""GET /api/v1/verifycode/verify/{verifyCode}""}[30m]) - rate(traces_spanmetrics_latency_sum{span_name=""GET /api/v1/verifycode/verify/{verifyCode}""}[30m] offset 1d) / rate(traces_spanmetrics_latency_count{span_name=""GET /api/v1/verifycode/verify/{verifyCode}""}[30m] offset 1d)'"
94,"In the past hour, how many packets have been dropped on eth0 during transmission by the pods of the tsdb-mysql statefulset on node k8s-node5?","'increase(container_network_transmit_packets_dropped_total{pod=~""tsdb-mysql-.*"", interface=""eth0"", node=""k8s-node5""}[1h])'"
95,Show me the total number of restarts for all pods of the gateway service and voucher service in the last 30 minutes.,"'sum(increase(kube_pod_container_status_restarts_total{pod=~""ts-gateway-service-.*|ts-voucher-service""}[30m]))'"
96,Show the filesystem bytes usage ratio for all pods of the news service deployed on nodes k8s-node1 and k8s-node4.,"'container_fs_usage_bytes{pod=~""ts-news-service-.*"", node=~""k8s-node1|k8s-node4""} / container_fs_limit_bytes{pod=~""ts-news-service-.*"", node=~""k8s-node1|k8s-node4""}'"
97,Which node hosting the pods of tsdb-mysql statefulset currently has the most bounce memory in bytes?,"'topk(1, node_memory_Bounce_bytes{instance=~""10.176.122.153:9100|10.176.122.161:9100|10.176.122.162:9100""})'"
98,Show the top 5 pods with the most number of restarts in the kube-system namespace.,"'topk(5, sum by(pod) (kube_pod_container_status_restarts_total{namespace=""kube-system""}))'"
99,"In the past hour, how many packets have been dropped on eth0 during transmission by the pods of the ts-verification-code-service on node k8s-node3?","'increase(container_network_transmit_packets_dropped_total{pod=~""ts-verification-code-service-6445455b6c-.*"", interface=""eth0"", node=""k8s-node3""}[1h])'"
100,I need a query that uses label_replace function to show both the 99th and 95th percentile of request duration (from the client's perspective) to ts-route-service during the past 5 minutes in the same graph.,"'label_replace(histogram_quantile(0.99, rate(traces_service_graph_request_client_seconds_bucket{server=""ts-route-service""}[5m])), ""percentile"", ""99"", """", """")\nor\nlabel_replace(histogram_quantile(0.95, rate(traces_service_graph_request_client_seconds_bucket{server=""ts-route-service""}[5m])), ""percentile"", ""95"", """", """")'"
101,Show me the per-second call rate for the API used to create a trip in 10-minute statistical intervals.,"'rate(traces_spanmetrics_calls_total{span_name=""POST /api/v1/travelservice/trips""}[10m])'"
102,Show the average request duration over a 5-minute window for all traffic from the seat service to all its downstream services.,"'rate(traces_service_graph_request_client_seconds_sum{client=""ts-seat-service""}[5m]) / rate(traces_service_graph_request_client_seconds_count{client=""ts-seat-service""}[5m])'"
103,Which node hosting the ts-wait-order-service currently has the most I/O activities in progress?,"""topk(1, sum(node_disk_io_now{instance=~'10.176.122.153:9100|10.176.122.154:9100'}) by (instance))"""
104,Calculates the decrease in the total number of processes currently running in all containers on k8s-node3 compared to that number at the same time one day ago.,"'sum(container_processes{node=""k8s-node3""}) - sum(container_processes{node=""k8s-node3""} offset 1d)'"
105,Monitor whether the network inflow rate of pod of the ts-travel-service exceeds 2000 byte/s in the past five minutes at the same time some average request duration (from the client's perspective) to ts-travel-service exceeds 0.003.,"'label_replace(sum(rate(container_network_receive_bytes_total{pod=~""ts-travel-service-.*""}[5m])) by (pod), ""server"", ""$1"", ""pod"", ""(ts-.*-service)-.*"") > 2000\nand on(server)\nrate(traces_service_graph_request_client_seconds_sum{server=""ts-travel-service""}[5m]) / rate(traces_service_graph_request_client_seconds_count{server=""ts-travel-service""}[5m]) > 0.003'"
106,What are the upstream services of the auth service? Show the total number of restarts of the pods for these services over the past hour.,"'sum(increase(kube_pod_container_status_restarts_total{pod=~""ts-gateway-service-6f99b4b794-.*|ts-user-service-5fc7759cf4-.*""}[1h]))'"
